route_pt_time,route_id,latitude,longitude,route_pt_sequence
,100078,35.224341,-80.841518,10001
,170082,35.224576,-80.840763,10001
,100089,35.224341,-80.841518,10001
,10157,35.224196,-80.841290,10001
,10161,35.224196,-80.841290,10001
,10169,35.224196,-80.841290,10001
,110295,35.224302,-80.841143,10001
,140052,35.224682,-80.840929,10001
,140059,35.224682,-80.840929,10001
,150102,35.224443,-80.840946,10001
,160169,35.224436,-80.840957,10001
,160171,35.224436,-80.840957,10001
,170083,35.224576,-80.840763,10001
,170092,35.224576,-80.840763,10001
,170094,35.224576,-80.840763,10001
,170095,35.224576,-80.840763,10001
,170105,35.224576,-80.840763,10001
,170106,35.224576,-80.840763,10001
,190138,35.224203,-80.841279,10001
,190140,35.224203,-80.841279,10001
,200113,35.224043,-80.840783,10001
,210098,35.224570,-80.841122,10001
,210104,35.224570,-80.841122,10001
,220180,35.224684,-80.840925,10001
,220181,35.224684,-80.840925,10001
,230085,35.224709,-80.840578,10001
,230105,35.224709,-80.840578,10001
,260063,35.224784,-80.840752,10001
,270087,35.224573,-80.841117,10001
,340138,35.224442,-80.841345,10001
,340141,35.224442,-80.841345,10001
,350001,35.224043,-80.840783,10001
,350015,35.224043,-80.840783,10001
,40070,35.224709,-80.840578,10001
,40x0127,35.224422,-80.841887,10001
,48x0094,35.224422,-80.841887,10001
,50062,35.224043,-80.840783,10001
,60058,35.224322,-80.841115,10001
,62x0122,35.224422,-80.841887,10001
,64x0064,35.224422,-80.841887,10001
,70249,35.224694,-80.840599,10001
,70250,35.224694,-80.840599,10001
,70258,35.224694,-80.840599,10001
,70262,35.224572,-80.840767,10001
,70263,35.224572,-80.840767,10001
,70264,35.224572,-80.840767,10001
,70268,35.224572,-80.840767,10001
,74x0083,35.224422,-80.841887,10001
,77x0156,35.224422,-80.841887,10001
,77x0157,35.224422,-80.841887,10001
,77x0159,35.224422,-80.841887,10001
,80105,35.224334,-80.841531,10001
,85x0066,35.224422,-80.841887,10001
,870001,35.224043,-80.840783,10001
,90149,35.224449,-80.841332,10001
,90153,35.224449,-80.841332,10001
,100078,35.224959,-80.840450,10002
,170082,35.224873,-80.840349,10002
,100089,35.224959,-80.840450,10002
,10157,35.224067,-80.841469,10002
,10161,35.224067,-80.841469,10002
,10169,35.224067,-80.841469,10002
,110295,35.224067,-80.841469,10002
,140052,35.224959,-80.840450,10002
,140059,35.224959,-80.840450,10002
,150102,35.224873,-80.840349,10002
,160169,35.224067,-80.841469,10002
,160171,35.224067,-80.841469,10002
,170082,35.224576,-80.840763,10001
,170083,35.224873,-80.840349,10002
,170092,35.224873,-80.840349,10002
,170094,35.224873,-80.840349,10002
,170095,35.224873,-80.840349,10002
,170105,35.224873,-80.840349,10002
,170106,35.224873,-80.840349,10002
,190138,35.224873,-80.840349,10002
,190140,35.224873,-80.840349,10002
,200113,35.223994,-80.840857,10002
,210098,35.224247,-80.841682,10002
,210104,35.224247,-80.841682,10002
,220180,35.224247,-80.841682,10002
,220181,35.224247,-80.841682,10002
,230085,35.224873,-80.840349,10002
,230105,35.224873,-80.840349,10002
,260063,35.224247,-80.841682,10002
,270087,35.224959,-80.840450,10002
,340138,35.224247,-80.841682,10002
,340141,35.224247,-80.841682,10002
,350001,35.223994,-80.840857,10002
,350015,35.223994,-80.840857,10002
,40070,35.224873,-80.840349,10002
,40x0127,35.224489,-80.841960,10002
,48x0094,35.224489,-80.841960,10002
,50062,35.223994,-80.840857,10002
,60058,35.224873,-80.840349,10002
,62x0122,35.224489,-80.841960,10002
,64x0064,35.224489,-80.841960,10002
,70249,35.224067,-80.841469,10002
,70250,35.224067,-80.841469,10002
,70258,35.224067,-80.841469,10002
,70262,35.224067,-80.841469,10002
,70263,35.224067,-80.841469,10002
,70264,35.224067,-80.841469,10002
,70268,35.224067,-80.841469,10002
,74x0083,35.224489,-80.841960,10002
,77x0156,35.224489,-80.841960,10002
,77x0157,35.224489,-80.841960,10002
,77x0159,35.224489,-80.841960,10002
,80105,35.224247,-80.841682,10002
,85x0066,35.224489,-80.841960,10002
,870001,35.223994,-80.840857,10002
,90149,35.224959,-80.840450,10002
,90153,35.224959,-80.840450,10002
,100078,35.224873,-80.840349,10003
,170082,35.224579,-80.84,10003
,100089,35.224873,-80.840349,10003
,10157,35.224105,-80.841513,10003
